"","filing","ctry_inv","variable","value","ctry_name"
"85",2019,"US","share_mrna_world",0.603815113719736,"United States"
"86",2019,"CA","share_mrna_world",0.0146735143066764,"Canada"
"87",2019,"CH","share_mrna_world",0.012472487160675,"Switzerland"
"88",2019,"CN","share_mrna_world",0.0168745414526779,"China"
"89",2019,"DE","share_mrna_world",0.140865737344094,"Germany"
"90",2019,"ES","share_mrna_world",0.00513573000733676,"Spain"
"91",2019,"FR","share_mrna_world",0.0190755685986794,"France"
"92",2019,"GB","share_mrna_world",0.0286133528980191,"United Kingdom"
"93",2019,"IT","share_mrna_world",0.00293470286133529,"Italy"
"94",2019,"JP","share_mrna_world",0.0198092443140132,"Japan"
"95",2019,"KR","share_mrna_world",0.0198092443140132,"South Korea"
"96",2019,"SE","share_mrna_world",0.00293470286133529,"Sweden"
"97",2020,"CN","share_mrna_world",0.026,"China"
"98",2020,"US","share_mrna_world",0.58,"United States"
"99",2020,"CA","share_mrna_world",0.013,"Canada"
"100",2020,"CH","share_mrna_world",0.014,"Switzerland"
"101",2020,"DE","share_mrna_world",0.172,"Germany"
"102",2020,"FR","share_mrna_world",0.024,"France"
"103",2020,"GB","share_mrna_world",0.025,"United Kingdom"
"104",2020,"IT","share_mrna_world",0.008,"Italy"
"105",2020,"JP","share_mrna_world",0.008,"Japan"
"106",2020,"KR","share_mrna_world",0.012,"South Korea"
"107",2020,"SE","share_mrna_world",0.003,"Sweden"
"108",2020,"ES","share_mrna_world",0.004,"Spain"
"109",2012,"CA","mrna_pharma_i",0.0791666666666667,"Canada"
"110",2012,"DE","mrna_pharma_i",0.0623885918003565,"Germany"
"111",2012,"US","mrna_pharma_i",0.0682165081601503,"United States"
"112",2012,"CH","mrna_pharma_i",0.0386178861788618,"Switzerland"
"113",2012,"CN","mrna_pharma_i",0.046875,"China"
"114",2012,"ES","mrna_pharma_i",0.0547945205479452,"Spain"
"115",2012,"FR","mrna_pharma_i",0.0403225806451613,"France"
"116",2012,"GB","mrna_pharma_i",0.0371900826446281,"United Kingdom"
"117",2012,"IT","mrna_pharma_i",0.0378548895899054,"Italy"
"118",2012,"JP","mrna_pharma_i",0.0608465608465608,"Japan"
"119",2012,"KR","mrna_pharma_i",0.0635838150289017,"South Korea"
"120",2012,"SE","mrna_pharma_i",0.0337078651685393,"Sweden"
"121",2013,"DE","mrna_pharma_i",0.0590673575129534,"Germany"
"122",2013,"FR","mrna_pharma_i",0.0516431924882629,"France"
"123",2013,"US","mrna_pharma_i",0.0712121212121212,"United States"
"124",2013,"CA","mrna_pharma_i",0.0774647887323944,"Canada"
"125",2013,"CH","mrna_pharma_i",0.0338266384778013,"Switzerland"
"126",2013,"CN","mrna_pharma_i",0.053125,"China"
"127",2013,"ES","mrna_pharma_i",0.0629370629370629,"Spain"
"128",2013,"GB","mrna_pharma_i",0.0495575221238938,"United Kingdom"
"129",2013,"IT","mrna_pharma_i",0.019672131147541,"Italy"
"130",2013,"JP","mrna_pharma_i",0.0428994082840237,"Japan"
"131",2013,"KR","mrna_pharma_i",0.0658307210031348,"South Korea"
"132",2013,"SE","mrna_pharma_i",0.0529411764705882,"Sweden"
"133",2014,"DE","mrna_pharma_i",0.0560640732265446,"Germany"
"134",2014,"US","mrna_pharma_i",0.0705787224211621,"United States"
"135",2014,"CA","mrna_pharma_i",0.0822222222222222,"Canada"
"136",2014,"CH","mrna_pharma_i",0.0435835351089588,"Switzerland"
"137",2014,"CN","mrna_pharma_i",0.0603674540682415,"China"
"138",2014,"ES","mrna_pharma_i",0.0853658536585366,"Spain"
"139",2014,"FR","mrna_pharma_i",0.0589171974522293,"France"
"140",2014,"GB","mrna_pharma_i",0.0355987055016181,"United Kingdom"
"141",2014,"IT","mrna_pharma_i",0.0296052631578947,"Italy"
"142",2014,"JP","mrna_pharma_i",0.0432900432900433,"Japan"
"143",2014,"KR","mrna_pharma_i",0.0769230769230769,"South Korea"
"144",2014,"SE","mrna_pharma_i",0.032051282051282,"Sweden"
"145",2015,"CH","mrna_pharma_i",0.0617283950617284,"Switzerland"
"146",2015,"DE","mrna_pharma_i",0.0926339285714286,"Germany"
"147",2015,"US","mrna_pharma_i",0.0778110303548525,"United States"
"148",2015,"CA","mrna_pharma_i",0.103792415169661,"Canada"
"149",2015,"CN","mrna_pharma_i",0.0352941176470588,"China"
"150",2015,"ES","mrna_pharma_i",0.0515463917525773,"Spain"
"151",2015,"FR","mrna_pharma_i",0.0604651162790698,"France"
"152",2015,"GB","mrna_pharma_i",0.0428954423592493,"United Kingdom"
"153",2015,"IT","mrna_pharma_i",0.0356083086053412,"Italy"
"154",2015,"JP","mrna_pharma_i",0.0462850182704019,"Japan"
"155",2015,"KR","mrna_pharma_i",0.0602409638554217,"South Korea"
"156",2015,"SE","mrna_pharma_i",0.041025641025641,"Sweden"
"157",2016,"US","mrna_pharma_i",0.0845785170566676,"United States"
"158",2016,"CH","mrna_pharma_i",0.0625,"Switzerland"
"159",2016,"DE","mrna_pharma_i",0.122562674094708,"Germany"
"160",2016,"CA","mrna_pharma_i",0.0819112627986348,"Canada"
"161",2016,"CN","mrna_pharma_i",0.0342935528120713,"China"
"162",2016,"ES","mrna_pharma_i",0.074468085106383,"Spain"
"163",2016,"FR","mrna_pharma_i",0.0613915416098226,"France"
"164",2016,"GB","mrna_pharma_i",0.0349819059107358,"United Kingdom"
"165",2016,"IT","mrna_pharma_i",0.0498533724340176,"Italy"
"166",2016,"JP","mrna_pharma_i",0.0386680988184748,"Japan"
"167",2016,"KR","mrna_pharma_i",0.0638686131386861,"South Korea"
"168",2016,"SE","mrna_pharma_i",0.0176211453744493,"Sweden"
"169",2017,"CH","mrna_pharma_i",0.0679611650485437,"Switzerland"
"170",2017,"US","mrna_pharma_i",0.0902397260273973,"United States"
